game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2025-06-15,SFG,LAD,SEAN HJELLE,DUSTIN MAY,544.0,90.42,2735.81,6.54,34.0,0.0,70.18,18.77,82.6,7.13,6.0,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,DODGERS,LAD
2025-06-18,BOS,SEA,GARRETT CROCHET,LUIS CASTILLO,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,605.0,92.48,2479.8,6.78,52.0,0.0,70.36,18.06,82.31,7.3,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RED SOX,BOS
2025-06-18,PHI,MIA,RANGER SUAREZ,ADAM MAZUR,97.0,88.28,2257.64,5.98,5.0,0.0,70.85,16.78,83.87,7.47,1.0,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,PHILLIES,PHI
2025-06-18,COL,WSH,GERMAN MARQUEZ,MITCHELL PARKER,486.0,88.83,2055.79,6.9,26.0,0.0,69.82,18.47,87.11,7.18,6.0,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ROCKIES,COL
2025-06-18,LAA,NYY,JACK KOCHANOWICZ,RYAN YARBROUGH,476.0,81.5,2018.93,6.17,29.0,0.0,70.25,20.83,83.12,7.23,6.0,493.0,92.65,2288.9,6.45,29.0,0.0,71.46,10.33,87.32,7.41,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ANGELS,LAA
2025-06-18,ARI,TOR,EDUARDO RODRIGUEZ,ERIC LAUER,360.0,87.69,2181.77,6.03,22.0,0.0,71.17,25.16,83.59,7.15,6.0,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BLUE JAYS,TOR
2025-06-18,MIN,CIN,BAILEY OBER,NICK LODOLO,523.0,89.28,2284.31,6.22,31.0,0.0,69.9,14.66,83.58,7.3,6.0,501.0,85.21,2099.39,7.27,22.0,0.0,69.62,26.27,83.15,7.47,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,REDS,CIN
2025-06-18,NYM,ATL,PAUL BLACKBURN,CHRIS SALE,519.0,87.0,2313.96,6.57,42.0,0.0,67.19,14.31,79.01,7.25,5.0,235.0,86.21,2346.38,6.26,8.0,0.0,71.39,11.51,83.95,7.37,4.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BRAVES,ATL
2025-06-18,BAL,TBR,TREVOR ROGERS,TAJ BRADLEY,487.0,92.05,2231.48,6.31,32.0,0.0,69.47,8.63,82.98,7.02,6.0,158.0,89.41,2142.96,6.75,9.0,0.0,72.21,22.84,86.09,7.34,2.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RAYS,TBR
2025-06-18,KCR,TEX,KRIS BUBIC,PATRICK CORBIN,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ROYALS,KCR
2025-06-18,CLE,SFG,LOGAN ALLEN,JUSTIN VERLANDER,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,GUARDIANS,CLE
2025-06-18,HOU,OAK,FRAMBER VALDEZ,LUIS SEVERINO,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,30.0,46.0,-128.0,L2,76.0,0.395,31.5,47.5,-124.0,,79.0,0.3985,ASTROS,HOU
2025-06-18,SDP,LAD,STEPHEN KOLEK,EMMET SHEEHAN,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,DODGERS,LAD
2025-06-19,MIN,CIN,CHRIS PADDACK,NICK MARTINEZ,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,544.0,87.98,2047.39,6.93,23.0,0.0,69.35,19.62,83.6,7.09,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,TWINS,STL
2025-06-19,COL,WSH,CHASE DOLLANDER,TREVOR WILLIAMS,483.0,83.89,2132.53,6.93,20.0,0.0,71.03,23.22,83.55,7.02,6.0,315.0,91.6,2519.75,6.22,10.0,0.0,70.98,19.22,84.61,7.0,4.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,NATIONALS,MIN
2025-06-19,LAA,NYY,TYLER ANDERSON,CARLOS RODON,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,571.0,84.17,2141.25,5.99,22.0,0.0,71.05,18.92,84.61,7.53,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,YANKEES,NYY
2025-06-19,PIT,DET,ANDREW HEANEY,TARIK SKUBAL,573.0,93.47,2184.27,6.51,46.0,0.0,69.01,21.13,80.58,7.09,6.0,492.0,85.94,2364.72,6.31,23.0,0.0,70.15,22.08,84.07,6.97,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,TIGERS,WSH
2025-06-19,STL,CHW,ERICK FEDDE,SEAN BURKE,448.0,88.08,2489.0,7.08,27.0,0.0,69.81,26.59,82.98,7.23,5.0,516.0,88.9,2122.15,6.66,23.0,0.0,69.1,18.57,82.34,7.04,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,CARDINALS,STL
2025-06-19,MIL,CHC,FREDDY PERALTA,JAMESON TAILLON,510.0,86.39,2362.84,6.65,25.0,0.0,70.21,24.58,81.02,7.35,6.0,581.0,91.4,2349.71,6.86,33.0,0.0,69.61,23.41,81.93,7.05,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BREWERS,SFG
2025-06-19,KCR,TEX,MICHAEL WACHA,SHAWN ARMSTRONG,189.0,91.08,2386.42,6.76,16.0,0.0,69.99,28.18,82.38,7.23,12.0,446.0,86.14,1963.41,6.72,22.0,0.0,69.12,21.6,80.96,7.28,5.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ROYALS,PIT
2025-06-19,ARI,TOR,RYNE NELSON,KEVIN GAUSMAN,564.0,89.31,2015.39,6.72,38.0,0.0,70.12,18.81,81.52,7.37,6.0,456.0,91.59,2249.16,6.76,17.0,0.0,69.04,22.09,83.83,6.93,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,D-BACKS,PHI
2025-06-19,CLE,SFG,GAVIN WILLIAMS,LOGAN WEBB,578.0,89.03,2084.22,6.76,44.0,0.0,68.79,14.4,83.23,6.96,6.0,595.0,90.16,2325.91,6.53,26.0,0.0,69.27,14.28,83.61,7.17,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,GIANTS,ATL
2025-06-19,PHI,MIA,CRISTOPHER SANCHEZ,EDWARD CABRERA,385.0,92.35,2268.34,6.53,30.0,0.0,69.7,11.13,84.0,7.47,5.0,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,PHILLIES,SDP
2025-06-20,SEA,CHC,GEORGE KIRBY,MATTHEW BOYD,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,527.0,91.86,2171.62,6.5,33.0,0.0,69.68,22.83,82.48,7.06,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,MARINERS,SEA
2025-06-20,TEX,PIT,JACOB DEGROM,MIKE BURROWS,460.0,88.56,2189.86,6.34,28.0,0.0,70.12,17.43,83.4,7.37,6.0,512.0,92.83,2527.05,6.76,34.0,0.0,70.02,19.86,84.76,7.4,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RANGERS,TEX
2025-06-20,DET,TBR,JACK FLAHERTY,SHANE BAZ,540.0,91.48,2485.33,6.42,29.0,0.0,70.36,17.45,84.8,7.18,6.0,566.0,86.66,2287.26,6.5,37.0,0.0,70.14,25.4,83.0,7.3,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RAYS,BAL
2025-06-20,BAL,NYY,TOMOYUKI SUGANO,MAX FRIED,563.0,88.27,2449.43,6.49,37.0,0.0,69.66,11.97,82.37,7.02,6.0,525.0,87.64,2265.42,6.22,21.0,0.0,71.29,19.88,83.62,7.4,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ORIOLES,TBR
2025-06-20,CHW,TOR,GRANT TAYLOR,SPENCER TURNBULL,125.0,86.29,2522.25,6.18,4.0,0.0,68.64,18.9,84.6,7.46,3.0,77.0,95.18,2536.81,7.34,6.0,0.0,68.22,18.69,85.85,6.4,5.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,WHITE SOX,CHW
2025-06-20,ATL,MIA,DIDIER FUENTES,JANSON JUNK,380.0,88.44,2357.74,6.61,25.0,0.0,69.8,18.14,83.58,7.08,6.0,87.0,89.71,2348.89,6.75,3.0,0.0,70.56,19.97,87.15,6.84,1.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,MARLINS,MIA
2025-06-20,CIN,STL,BRADY SINGER,ANDRE PALLANTE,518.0,90.97,2394.56,6.53,26.0,0.0,68.97,4.56,82.22,6.98,6.0,573.0,87.6,2396.27,6.93,24.0,0.0,70.5,14.58,83.99,7.15,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,CARDINALS,PHI
2025-06-20,NYM,PHI,BLADE TIDWELL,ZACK WHEELER,510.0,92.47,2467.52,7.19,38.0,0.0,70.46,21.03,81.38,7.02,5.0,74.0,90.6,2469.07,6.69,4.0,0.0,68.58,27.55,84.15,7.19,1.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,PHILLIES,STL
2025-06-20,MIL,MIN,JACOB MISIOROWSKI,JOE RYAN,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BREWERS,MIL
2025-06-20,ARI,COL,ZAC GALLEN,AUSTIN GOMBER,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,D-BACKS,ARI
2025-06-20,HOU,LAA,HUNTER BROWN,YUSEI KIKUCHI,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ASTROS,HOU
2025-06-20,KCR,SDP,MICHAEL LORENZEN,NICK PIVETTA,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,ROYALS,KCR
2025-06-20,CLE,OAK,TANNER BIBEE,JEFFREY SPRINGS,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,32.0,46.0,-122.0,W2,78.0,0.41,31.5,47.5,-124.0,,79.0,0.3985,ATHLETICS,OAK
2025-06-20,WSH,LAD,MACKENZIE GORE,CLAYTON KERSHAW,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,DODGERS,LAD
2025-06-20,BOS,SFG,HUNTER DOBBINS,HAYDEN BIRDSONG,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,408.69135802469134,89.00382716049383,2265.013086419753,6.509876543209876,21.469135802469136,0.0,69.98691358024692,19.01691358024691,83.61851851851853,7.16604938271605,5.061728395061729,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RED SOX,BOS
2025-06-21,DET,TBR,SAWYER GIPSON-LONG,RYAN PEPIOT,582.0,91.74,2494.46,6.6,43.0,0.0,70.62,25.73,81.82,7.14,6.0,244.0,88.68,2188.17,7.35,12.0,0.0,71.86,18.68,85.58,7.41,4.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RAYS,TBR
2025-06-21,BAL,NYY,ZACH EFLIN,CLARKE SCHMIDT,578.0,89.15,2891.44,6.08,35.0,0.0,70.48,25.67,82.06,7.02,6.0,522.0,86.23,2130.82,6.45,25.0,0.0,70.29,12.32,81.68,7.47,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,YANKEES,NYY
2025-06-21,MIL,MIN,JOSE QUINTANA,SIMEON WOODS RICHARDSON,246.0,86.88,2250.19,6.75,11.0,0.0,70.15,22.53,83.21,7.18,3.0,374.0,86.1,1989.09,6.49,12.0,0.0,68.29,18.54,81.97,7.24,4.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BREWERS,MIL
2025-06-21,CIN,STL,BRENT SUTER,SONNY GRAY,425.0,87.97,2448.19,6.5,29.0,0.0,68.75,13.14,83.76,7.12,5.0,201.0,84.02,2113.73,7.39,9.0,0.0,68.12,20.06,79.25,7.01,8.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,CARDINALS,STL
2025-06-21,SEA,CHC,EMERSON HANCOCK,CADE HORTON,411.0,90.91,2454.67,6.21,21.0,0.0,70.11,12.88,84.22,7.26,5.0,510.0,91.35,2226.73,6.09,25.0,0.0,69.5,20.7,83.49,7.02,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,CUBS,CHC
2025-06-21,CHW,TOR,AARON CIVALE,JOSE BERRIOS,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,518.0,87.69,2600.12,5.54,23.0,0.0,69.84,23.63,82.11,7.11,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BLUE JAYS,TOR
2025-06-21,BOS,SFG,BRAYAN BELLO,LANDEN ROUPP,479.0,85.74,2356.19,6.27,23.0,0.0,70.81,7.62,84.0,7.39,6.0,557.0,91.56,2252.03,6.4,31.0,0.0,70.12,10.77,81.94,7.27,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,GIANTS,TEX
2025-06-21,TEX,PIT,KUMAR ROCKER,MITCH KELLER,543.0,89.13,2496.65,6.55,24.0,0.0,69.08,13.88,84.44,7.03,6.0,237.0,91.73,2209.57,6.78,15.0,0.0,68.62,19.76,84.91,7.19,3.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,RANGERS,SFG
2025-06-21,ATL,MIA,GRANT HOLMES,EURY PEREZ,432.6179775280899,89.20685393258428,2308.529662921348,6.522696629213483,25.95505617977528,0.0,69.84112359550562,17.628314606741572,83.37797752808989,7.213820224719101,5.247191011235955,544.0,89.22,2629.98,6.0,48.0,0.0,68.86,12.45,82.55,7.29,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,BRAVES,ATL
2025-06-21,KCR,SDP,NOAH CAMERON,DYLAN CEASE,589.0,92.66,2668.37,6.29,45.0,0.0,69.46,19.99,83.81,7.31,6.0,529.0,85.71,2220.38,6.24,28.0,0.0,69.77,13.47,84.32,7.33,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,PADRES,NYM
2025-06-21,NYM,PHI,GRIFFIN CANNING,MICK ABEL,317.0,91.3,2489.87,6.66,9.0,0.0,70.14,20.75,84.92,6.9,4.0,503.0,89.97,2213.16,5.91,21.0,0.0,70.32,12.32,84.87,7.34,6.0,31.25,46.25,-125.0,,77.5,0.40325,31.5,47.5,-124.0,,79.0,0.3985,METS,SDP
